student_input,session_context,label,intent_name
can u repeat,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:75%,Lambda Functions:75%,Error Handling:49% | emotion:confused | pace:steady | slides:31,32,33",4,Repeat/clarification
whats ur name,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:86%,For Loops:61%,While Loops:59% | emotion:frustrated | pace:moderate | slides:46,47,48",1,Off-Topic Question
are you chatgpt,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:67%,If/Else Conditionals:34%,For Loops:61% | emotion:confused | pace:dragging | slides:17,18,19",1,Off-Topic Question
what did you just say,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:33%,Strings&Formatting:62% | emotion:excited | pace:moderate | slides:10,11,12",4,Repeat/clarification
"Since I did well on Variables and Data Types, is Strings and Formatting going to be similar?","topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:84% | emotion:engaged | pace:rushed | slides:33,34,35",0,On-Topic Question
I don't get the part about Classes and OOP.,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:91%,Lambda Functions:61%,Error Handling:34% | emotion:engaged | pace:slow | slides:49,50,51",0,On-Topic Question
explain the code,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:89%,Strings&Formatting:73% | emotion:focused | pace:normal | slides:46,47,48",0,On-Topic Question
how old are you,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:93%,Lambda Functions:43%,Error Handling:89% | emotion:frustrated | pace:dragging | slides:58,59,60",1,Off-Topic Question
When will we cover Dictionaries?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:41%,Arithmetic Operators:72%,Boolean Logic:94% | emotion:confused | pace:dragging | slides:50,51,52",1,Off-Topic Question
smh,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:94%,Dictionaries:30%,Sets:59% | emotion:engaged | pace:dragging | slides:22,23,24",2,Emotional-State
speed it up,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:44%,Functions&Scope:46%,Lambda Functions:60% | emotion:engaged | pace:dragging | slides:43,44,45",3,Pace-Related
Is there a different way to write Lists and Tuples?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:59%,For Loops:81%,While Loops:53% | emotion:confused | pace:fast | slides:40,41,42",0,On-Topic Question
IS THERE A DIFFERENT WAY TO WRITE STRINGS AND FORMATTING?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:50% | emotion:neutral | pace:slow | slides:48,49,50",0,On-Topic Question
too slow,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:47%,For Loops:88%,While Loops:73% | emotion:frustrated | pace:slow | slides:33,34,35",3,Pace-Related
can we skip this?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:65%,Error Handling:35%,Classes&OOP:76% | emotion:anxious | pace:dragging | slides:13,14,15",3,Pace-Related
can you write an essay for me,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:75%,Functions&Scope:94%,Lambda Functions:33% | emotion:neutral | pace:moderate | slides:52,53,54",1,Off-Topic Question
is this importnnt,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:71%,Dictionaries:63%,Sets:59% | emotion:neutral | pace:dragging | slides:52,53,54",0,On-Topic Question
can we stop for a sec,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:67%,If/Else Conditionals:40%,For Loops:33% | emotion:neutral | pace:fast | slides:30,31,32",3,Pace-Related
sorry what,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:50%,While Loops:77%,Lists&Tuples:44% | emotion:bored | pace:steady | slides:11,12,13",4,Repeat/clarification
skip ahead please.,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:31%,Strings&Formatting:43%,Arithmetic Operators:53% | emotion:frustrated | pace:rushed | slides:12,13,14",3,Pace-Related
can u show another example,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:87%,Arithmetic Operators:35%,Boolean Logic:95% | emotion:confused | pace:steady | slides:53,54,55",0,On-Topic Question
Can you help me with my math homework?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:37%,Functions&Scope:98%,Lambda Functions:56% | emotion:overwhelmed | pace:steady | slides:23,24,25",1,Off-Topic Question
Can you show that example one more time?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:92%,Strings&Formatting:44% | emotion:neutral | pace:fast | slides:51,52,53",4,Repeat/clarification
so too fats bro,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:68%,Strings&Formatting:89% | emotion:overwhelmed | pace:fast | slides:37,38,39",3,Pace-Related
My head hurts from all this information.,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:38%,Lambda Functions:74%,Error Handling:94% | emotion:frustrated | pace:dragging | slides:9,10,11",2,Emotional-State
Do we need to know about Error Handling (Try/Except)?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:95%,Sets:98%,Functions&Scope:65% | emotion:confused | pace:fast | slides:6,7,8",1,Off-Topic Question
"I saw someone using Classes and OOP, what does it do?","topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:92%,Boolean Logic:95%,If/Else Conditionals:35% | emotion:tired | pace:slow | slides:39,40,41",1,Off-Topic Question
My head hurts from all this information?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:64%,While Loops:31%,Lists&Tuples:32% | emotion:confused | pace:moderate | slides:37,38,39",2,Emotional-State
what was that,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:62%,Sets:61%,Functions&Scope:95% | emotion:excited | pace:moderate | slides:15,16,17",4,Repeat/clarification
say it again,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:81%,If/Else Conditionals:58%,For Loops:33% | emotion:bored | pace:normal | slides:40,41,42",4,Repeat/clarification
i feel so dumb?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:65%,If/Else Conditionals:55%,For Loops:95% | emotion:confused | pace:steady | slides:58,59,60",2,Emotional-State
Can you go back to the previous slide for a second?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:bored | pace:fast | slides:31,32,33",4,Repeat/clarification
hol up!!,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:35%,Arithmetic Operators:33%,Boolean Logic:44% | emotion:focused | pace:moderate | slides:45,46,47",3,Pace-Related
"Please slow down, I can't keep up.","topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:75%,While Loops:84%,Lists&Tuples:77% | emotion:focused | pace:slow | slides:33,34,35",3,Pace-Related
What is your favorite oclor?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:confused | pace:moderate | slides:25,26,27",1,Off-Topic Question
whats good,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:35%,Sets:46%,Functions&Scope:63% | emotion:neutral | pace:fast | slides:16,17,18",1,Off-Topic Question
can u show another example,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:67%,For Loops:93%,While Loops:88% | emotion:confused | pace:steady | slides:18,19,20",0,On-Topic Question
actually When will we cover Dictionaries?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:48% | emotion:bored | pace:normal | slides:11,12,13",1,Off-Topic Question
slow tf down,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:35%,Lists&Tuples:79%,Dictionaries:87% | emotion:anxious | pace:rushed | slides:15,16,17",3,Pace-Related
im hungry,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:30% | emotion:frustrated | pace:slow | slides:31,32,33",1,Off-Topic Question
Is If/Else Conditionals related to what we are doing now!!,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:96% | emotion:bored | pace:slow | slides:42,43,44",1,Off-Topic Question
slow down im typing,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:78%,Sets:75%,Functions&Scope:57% | emotion:anxious | pace:fast | slides:33,34,35",3,Pace-Related
Do we need to know about Lambda Functions?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:66%,Dictionaries:72%,Sets:92% | emotion:frustrated | pace:dragging | slides:16,17,18",1,Off-Topic Question
whats the meaning of life?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:confused | pace:dragging | slides:21,22,23",1,Off-Topic Question
sorry what,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:36%,Lists&Tuples:37%,Dictionaries:95% | emotion:overwhelmed | pace:fast | slides:27,28,29",4,Repeat/clarification
who won yesterday,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:30%,While Loops:47%,Lists&Tuples:50% | emotion:focused | pace:steady | slides:52,53,54",1,Off-Topic Question
can u repeat,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:65%,While Loops:38%,Lists&Tuples:82% | emotion:tired | pace:fast | slides:20,21,22",4,Repeat/clarification
like run that back,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:31%,Strings&Formatting:89% | emotion:confused | pace:moderate | slides:35,36,37",4,Repeat/clarification
well me give an example of Boolean Logic,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:51%,Strings&Formatting:86%,Arithmetic Operators:51% | emotion:focused | pace:steady | slides:11,12,13",0,On-Topic Question
"I'm confwork withd, I feel so dumb right now.","topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:59%,Dictionaries:99%,Sets:52% | emotion:frustrated | pace:moderate | slides:22,23,24",2,Emotional-State
hold on,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:39%,If/Else Conditionals:52%,For Loops:86% | emotion:confused | pace:rushed | slides:5,6,7",3,Pace-Related
so where are u from,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:95%,Lists&Tuples:56%,Dictionaries:44% | emotion:excited | pace:steady | slides:32,33,34",1,Off-Topic Question
rewind,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:65%,For Loops:58%,While Loops:66% | emotion:engaged | pace:rushed | slides:26,27,28",4,Repeat/clarification
i'm confused repeat please,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:35%,Sets:40%,Functions&Scope:90% | emotion:excited | pace:normal | slides:49,50,51",4,Repeat/clarification
Where does For Loops fit in a larger program?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:98%,Boolean Logic:72%,If/Else Conditionals:54% | emotion:excited | pace:dragging | slides:6,7,8",0,On-Topic Question
Do we need to know about Lambda Functions?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:54%,While Loops:30%,Lists&Tuples:70% | emotion:anxious | pace:rushed | slides:46,47,48",1,Off-Topic Question
i need to hear that explanation again.,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:91%,While Loops:80%,Lists&Tuples:49% | emotion:bored | pace:steady | slides:35,36,37",4,Repeat/clarification
why use Classes and OOP,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:33%,Lambda Functions:48%,Error Handling:42% | emotion:tired | pace:steady | slides:8,9,10",0,On-Topic Question
"I lost you there, can you start over on that point?","topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:45%,While Loops:98%,Lists&Tuples:54% | emotion:anxious | pace:normal | slides:5,6,7",4,Repeat/clarification
pause pls,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:78%,Sets:73%,Functions&Scope:83% | emotion:anxious | pace:rushed | slides:43,44,45",3,Pace-Related
skip this,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:overwhelmed | pace:dragging | slides:49,50,51",3,Pace-Related
How long until we get to Classes and OOP?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:76%,Boolean Logic:71%,If/Else Conditionals:43% | emotion:confused | pace:rushed | slides:58,59,60",1,Off-Topic Question
can you show me with code,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:100%,Strings&Formatting:83% | emotion:focused | pace:steady | slides:14,15,16",0,On-Topic Question
"I unndestood Functions and Sope but Clsses and OOP feels comlpetely differnt, wh?y","topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:48%,Lambda Functions:71%,Error Handling:34% | emotion:anxious | pace:steady | slides:4,5,6",0,On-Topic Question
too slow?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:64%,Functions&Scope:81%,Lambda Functions:82% | emotion:tired | pace:dragging | slides:44,45,46",3,Pace-Related
show me?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:79%,Lambda Functions:33%,Error Handling:66% | emotion:confused | pace:dragging | slides:5,6,7",0,On-Topic Question
i hate this,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:44%,Lambda Functions:34%,Error Handling:61% | emotion:excited | pace:moderate | slides:27,28,29",2,Emotional-State
can ou slow ow,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:43%,Functions&Scope:50%,Lambda Functions:82% | emotion:frustrated | pace:dragging | slides:17,18,19",3,Pace-Related
im hungry,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:38%,Error Handling:74%,Classes&OOP:98% | emotion:tired | pace:steady | slides:53,54,55",1,Off-Topic Question
come again,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:85%,Arithmetic Operators:48%,Boolean Logic:65% | emotion:engaged | pace:dragging | slides:49,50,51",4,Repeat/clarification
wha htappened?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:53%,Functions&Scope:31%,Lambda Functions:45% | emotion:neutral | pace:steady | slides:15,16,17",4,Repeat/clarification
How long until we get to Error Handling (Try/Except)?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:38%,Dictionaries:34%,Sets:44% | emotion:excited | pace:dragging | slides:14,15,16",1,Off-Topic Question
Is there a different way to write Lists and Tuples?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:36%,For Loops:48%,While Loops:37% | emotion:anxious | pace:dragging | slides:37,38,39",0,On-Topic Question
pause,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:69%,Arithmetic Operators:64%,Boolean Logic:58% | emotion:overwhelmed | pace:normal | slides:28,29,30",3,Pace-Related
I need to hea rthatt xeplanatiion again?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:50%,Strings&Formatting:33%,Arithmetic Operators:54% | emotion:excited | pace:steady | slides:27,28,29",4,Repeat/clarification
like hol up,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:56%,Sets:73%,Functions&Scope:55% | emotion:bored | pace:slow | slides:48,49,50",3,Pace-Related
Is Lists and Tuples used a lot in real projects?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:71%,For Loops:91%,While Loops:100% | emotion:bored | pace:steady | slides:38,39,40",0,On-Topic Question
i quit,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:81%,Arithmetic Operators:58%,Boolean Logic:89% | emotion:tired | pace:rushed | slides:58,59,60",2,Emotional-State
"Since I did well on Sets, is Functions and Scope going to be similar?","topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:34%,Dictionaries:39%,Sets:63% | emotion:bored | pace:fast | slides:40,41,42",0,On-Topic Question
How would I use Lists and Tuples in a project?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:89%,For Loops:66%,While Loops:61% | emotion:frustrated | pace:steady | slides:57,58,59",0,On-Topic Question
say it again,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:48%,Boolean Logic:33%,If/Else Conditionals:71% | emotion:bored | pace:steady | slides:20,21,22",4,Repeat/clarification
i give up,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:36%,Error Handling:42%,Classes&OOP:60% | emotion:bored | pace:slow | slides:51,52,53",2,Emotional-State
can you take it easy?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:78%,Lists&Tuples:31%,Dictionaries:61% | emotion:anxious | pace:moderate | slides:52,53,54",3,Pace-Related
no way,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:32%,Lambda Functions:51%,Error Handling:62% | emotion:engaged | pace:slow | slides:57,58,59",2,Emotional-State
I feel overwhelmed by all this new stuff.,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:82%,If/Else Conditionals:71%,For Loops:72% | emotion:neutral | pace:steady | slides:34,35,36",2,Emotional-State
thiis sucks,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:84%,Sets:46%,Functions&Scope:86% | emotion:confused | pace:steady | slides:46,47,48",2,Emotional-State
pause pls,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:67%,Sets:67%,Functions&Scope:69% | emotion:tired | pace:normal | slides:46,47,48",3,Pace-Related
one more time,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:engaged | pace:slow | slides:48,49,50",4,Repeat/clarification
help me with my homework,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:97%,Error Handling:88%,Classes&OOP:40% | emotion:frustrated | pace:moderate | slides:29,30,31",1,Off-Topic Question
This is really starting to make sense!,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:37%,If/Else Conditionals:87%,For Loops:45% | emotion:bored | pace:dragging | slides:59,60,61",2,Emotional-State
one sec,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:50%,While Loops:64%,Lists&Tuples:52% | emotion:tired | pace:slow | slides:48,49,50",3,Pace-Related
??,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:53%,Error Handling:50%,Classes&OOP:62% | emotion:tired | pace:steady | slides:58,59,60",4,Repeat/clarification
i feel overwhelmed by all this new stuff.,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:77%,If/Else Conditionals:92%,For Loops:57% | emotion:overwhelmed | pace:dragging | slides:40,41,42",2,Emotional-State
ur going too fast,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:55%,Functions&Scope:52%,Lambda Functions:57% | emotion:neutral | pace:steady | slides:37,38,39",3,Pace-Related
repeat,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:43%,Boolean Logic:72%,If/Else Conditionals:44% | emotion:confused | pace:dragging | slides:29,30,31",4,Repeat/clarification
im hungry,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:79%,Functions&Scope:40%,Lambda Functions:89% | emotion:tired | pace:dragging | slides:20,21,22",1,Off-Topic Question
can u repeat,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:88%,Error Handling:77%,Classes&OOP:98% | emotion:bored | pace:rushed | slides:50,51,52",4,Repeat/clarification
"please slow down, i can't keep up.","topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:49%,While Loops:48%,Lists&Tuples:53% | emotion:frustrated | pace:rushed | slides:13,14,15",3,Pace-Related
how do i use Arithmetic Operators,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:39%,Strings&Formatting:60% | emotion:frustrated | pace:slow | slides:8,9,10",0,On-Topic Question
skip this?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:79%,Lambda Functions:46%,Error Handling:40% | emotion:tired | pace:steady | slides:21,22,23",3,Pace-Related
do you have feelings?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:73%,Strings&Formatting:90% | emotion:neutral | pace:normal | slides:26,27,28",1,Off-Topic Question
Do we need to know about Boolean Logic?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:frustrated | pace:steady | slides:52,53,54",1,Off-Topic Question
whats your favorite color?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:40%,Strings&Formatting:68%,Arithmetic Operators:90% | emotion:neutral | pace:slow | slides:12,13,14",1,Off-Topic Question
HOLD ON,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:59%,Lists&Tuples:57%,Dictionaries:76% | emotion:tired | pace:moderate | slides:41,42,43",3,Pace-Related
hey my Sets code is broken,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:97%,Lists&Tuples:94%,Dictionaries:42% | emotion:neutral | pace:normal | slides:37,38,39",0,On-Topic Question
"Since I did well on Arithmetic Operators, is If/Else Conditionals going to be similar?","topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:76%,Arithmetic Operators:68%,Boolean Logic:61% | emotion:neutral | pace:rushed | slides:50,51,52",0,On-Topic Question
"i saw someone using dictionaries, what does it do?","topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:51% | emotion:neutral | pace:dragging | slides:39,40,41",1,Off-Topic Question
go fastr,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:73%,Sets:95%,Functions&Scope:32% | emotion:excited | pace:slow | slides:59,60,61",3,Pace-Related
how are you,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:50%,Functions&Scope:72%,Lambda Functions:33% | emotion:excited | pace:moderate | slides:58,59,60",1,Off-Topic Question
what's the weather,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:88% | emotion:tired | pace:slow | slides:18,19,20",1,Off-Topic Question
can u show another example,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:37%,Boolean Logic:80%,If/Else Conditionals:37% | emotion:bored | pace:fast | slides:37,38,39",0,On-Topic Question
give me an example of Lambda Functions?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:42%,Sets:63%,Functions&Scope:48% | emotion:neutral | pace:rushed | slides:45,46,47",0,On-Topic Question
this is impossible,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:40%,If/Else Conditionals:44%,For Loops:82% | emotion:engaged | pace:normal | slides:59,60,61",2,Emotional-State
whats up?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:engaged | pace:rushed | slides:38,39,40",1,Off-Topic Question
ur going too fast,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:71%,For Loops:31%,While Loops:53% | emotion:confused | pace:moderate | slides:7,8,9",3,Pace-Related
When will we cover Arithmetic Operators?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:overwhelmed | pace:normal | slides:47,48,49",1,Off-Topic Question
let's goooo,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:79%,Lists&Tuples:68%,Dictionaries:52% | emotion:tired | pace:steady | slides:7,8,9",2,Emotional-State
I don't get the part about problem Handling (Try/Except).,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:63%,Functions&Scope:50%,Lambda Functions:59% | emotion:overwhelmed | pace:slow | slides:58,59,60",0,On-Topic Question
like assist me with my homework,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:49% | emotion:bored | pace:steady | slides:56,57,58",1,Off-Topic Question
ur going too fast,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:96%,Boolean Logic:45%,If/Else Conditionals:39% | emotion:engaged | pace:dragging | slides:41,42,43",3,Pace-Related
what happeened?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:engaged | pace:moderate | slides:59,60,61",4,Repeat/clarification
how is this useful?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:71%,While Loops:56%,Lists&Tuples:44% | emotion:confused | pace:moderate | slides:18,19,20",0,On-Topic Question
Do we need to know about Lists and Tuples?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:98%,If/Else Conditionals:98%,For Loops:99% | emotion:frustrated | pace:normal | slides:14,15,16",1,Off-Topic Question
what is the capital of france?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:96% | emotion:focused | pace:rushed | slides:32,33,34",1,Off-Topic Question
"I think I got this, let's speed up.","topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:84%,Functions&Scope:86%,Lambda Functions:93% | emotion:confused | pace:steady | slides:15,16,17",3,Pace-Related
well are you chatgpt,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:97%,Sets:55%,Functions&Scope:95% | emotion:tired | pace:dragging | slides:15,16,17",1,Off-Topic Question
who is the president,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:77%,Functions&Scope:63%,Lambda Functions:33% | emotion:confused | pace:fast | slides:46,47,48",1,Off-Topic Question
I feel completely stuck and confused.,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:59%,Boolean Logic:53%,If/Else Conditionals:78% | emotion:engaged | pace:slow | slides:17,18,19",2,Emotional-State
what?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:71%,Boolean Logic:91%,If/Else Conditionals:31% | emotion:bored | pace:steady | slides:34,35,36",4,Repeat/clarification
