student_input,session_context,label,intent_name
slow down typing,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:100%,Dictionaries:46%,Sets:60% | emotion:confused | pace:rushed | slides:49,50,51",3,Pace-Related
umm how do i write this,,0,On-Topic Question
run that back,,4,Repeat/clarification
do u games play,,1,Off-Topic Question
don't rush through this please!!,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:51%,For Loops:51%,While Loops:31% | emotion:bored | pace:fast | slides:4,5,6",3,Pace-Related
do u games play!!,,1,Off-Topic Question
i dont get ti,,0,On-Topic Question
Is Classes and OOP something I'll use every day?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:96%,Lambda Functions:35%,Error Handling:45% | emotion:engaged | pace:moderate | slides:24,25,26",0,On-Topic Question
"since i did well on strings and formatting, is boolean logic going to be similar?","topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:37%,Strings&Formatting:83%,Arithmetic Operators:80% | emotion:anxious | pace:steady | slides:35,36,37",0,On-Topic Question
What's If/Else Conditionals again?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:96%,Arithmetic Operators:36%,Boolean Logic:97% | emotion:excited | pace:rushed | slides:16,17,18",0,On-Topic Question
what's the weather,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:91%,For Loops:64%,While Loops:58% | emotion:engaged | pace:moderate | slides:38,39,40",1,Off-Topic Question
"I understood Error Handling (Try/Except) but File Handling feels completely different, why?",,0,On-Topic Question
can u show another example,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:67%,Strings&Formatting:100%,Arithmetic Operators:93% | emotion:engaged | pace:moderate | slides:10,11,12",0,On-Topic Question
i need a minute,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:86%,Lambda Functions:38%,Error Handling:66% | emotion:neutral | pace:rushed | slides:9,10,11",3,Pace-Related
i feel so dumb,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:39%,For Loops:39%,While Loops:88% | emotion:overwhelmed | pace:moderate | slides:27,28,29",2,Emotional-State
Can we skip this,,3,Pace-Related
When should I use Strings and Formatting vs the other approach?,,0,On-Topic Question
pause,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:anxious | pace:normal | slides:59,60,61",3,Pace-Related
"Give me a sec, I'm still processing.","topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:34%,Lists&Tuples:94%,Dictionaries:99% | emotion:frustrated | pace:rushed | slides:45,46,47",3,Pace-Related
this is impossible,,2,Emotional-State
yo what,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:65%,Dictionaries:72%,Sets:67% | emotion:confused | pace:slow | slides:49,50,51",2,Emotional-State
this sucks,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:58%,While Loops:43%,Lists&Tuples:40% | emotion:confused | pace:moderate | slides:58,59,60",2,Emotional-State
did not hear you,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:82%,Lambda Functions:39%,Error Handling:37% | emotion:neutral | pace:moderate | slides:33,34,35",4,Repeat/clarification
i didnt catch that,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:33%,Lambda Functions:92%,Error Handling:55% | emotion:tired | pace:rushed | slides:41,42,43",4,Repeat/clarification
how are you,,1,Off-Topic Question
i wasn't listening,,4,Repeat/clarification
huh!!,,4,Repeat/clarification
when will we cover if/else conditionals?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:30% | emotion:focused | pace:fast | slides:18,19,20",1,Off-Topic Question
whats up,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:46%,Error Handling:61%,Classes&OOP:59% | emotion:neutral | pace:normal | slides:24,25,26",1,Off-Topic Question
can we stop for a sec,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:58%,Arithmetic Operators:44%,Boolean Logic:31% | emotion:tired | pace:dragging | slides:26,27,28",3,Pace-Related
yay i did it,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:69%,While Loops:65%,Lists&Tuples:74% | emotion:focused | pace:fast | slides:31,32,33",2,Emotional-State
what?,,4,Repeat/clarification
what happened?,,4,Repeat/clarification
one more time,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:43%,For Loops:42%,While Loops:88% | emotion:engaged | pace:dragging | slides:5,6,7",4,Repeat/clarification
hol up,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:54%,Dictionaries:34%,Sets:40% | emotion:confused | pace:steady | slides:4,5,6",3,Pace-Related
omg it works,,2,Emotional-State
Can you re-explain how that works,,4,Repeat/clarification
can we stop for a sec,,3,Pace-Related
Don't rush through this please.,,3,Pace-Related
When will we cover If/Else Conditionals?,,1,Off-Topic Question
this sucks,,2,Emotional-State
why i getting an error,,0,On-Topic Question
my File Handling code is broken,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:50%,Error Handling:41%,Classes&OOP:42% | emotion:anxious | pace:slow | slides:56,57,58",0,On-Topic Question
i dont get it,,0,On-Topic Question
what's your iq,,1,Off-Topic Question
What is your favorite color,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:37%,While Loops:70%,Lists&Tuples:62% | emotion:tired | pace:rushed | slides:11,12,13",1,Off-Topic Question
slow,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:79%,Boolean Logic:59%,If/Else Conditionals:37% | emotion:confused | pace:rushed | slides:10,11,12",3,Pace-Related
When should I use Variables and Data Types vs the other approach?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:overwhelmed | pace:steady | slides:9,10,11",0,On-Topic Question
I have no idea what's going on.,,2,Emotional-State
"i lost you there, can you start over on that point?",,4,Repeat/clarification
i give up,,2,Emotional-State
smh,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:71%,Functions&Scope:93%,Lambda Functions:61% | emotion:anxious | pace:steady | slides:19,20,21",2,Emotional-State
"Since I did well on Strings and Formatting, is Arithmetic Operators going to be similar?",,0,On-Topic Question
Wheen will we cover File Handling?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:82%,Lambda Functions:57%,Error Handling:95% | emotion:frustrated | pace:dragging | slides:41,42,43",1,Off-Topic Question
skip this,,3,Pace-Related
Let me see that slide again,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:92%,Error Handling:52%,Classes&OOP:47% | emotion:focused | pace:dragging | slides:4,5,6",4,Repeat/clarification
Don't rush thi pleas.,,3,Pace-Related
i give up,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:46%,Dictionaries:67%,Sets:49% | emotion:tired | pace:normal | slides:55,56,57",2,Emotional-State
too fast bro,,3,Pace-Related
slow tf down,,3,Pace-Related
Tell more me about Boolean Logic,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:82%,Strings&Formatting:34%,Arithmetic Operators:67% | emotion:tired | pace:normal | slides:21,22,23",0,On-Topic Question
are you a robot,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:51%,Lambda Functions:94%,Error Handling:59% | emotion:neutral | pace:normal | slides:44,45,46",1,Off-Topic Question
can you write an essay for me,,1,Off-Topic Question
Can you help me with my math homework?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:39%,While Loops:45%,Lists&Tuples:52% | emotion:overwhelmed | pace:moderate | slides:42,43,44",1,Off-Topic Question
eLt me see tahht slide agi?n,,4,Repeat/clarification
let's goooo,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:47%,Dictionaries:43%,Sets:66% | emotion:focused | pace:normal | slides:32,33,34",2,Emotional-State
right im not getting mistake Handling (Try/Except),,0,On-Topic Question
whats the capital of france,,1,Off-Topic Question
ait a minute,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:96%,Lists&Tuples:60%,Dictionaries:77% | emotion:anxious | pace:dragging | slides:49,50,51",3,Pace-Related
pause pls,,3,Pace-Related
lowkey confapplyd,,2,Emotional-State
Boolean Logic is confusing,,0,On-Topic Question
one sec,,3,Pace-Related
sorry what,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:92%,Arithmetic Operators:63%,Boolean Logic:58% | emotion:frustrated | pace:moderate | slides:57,58,59",4,Repeat/clarification
how do i use For Loops,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:33%,Boolean Logic:92%,If/Else Conditionals:62% | emotion:excited | pace:moderate | slides:11,12,13",0,On-Topic Question
Can we pick up the pace?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:52%,Sets:51%,Functions&Scope:93% | emotion:overwhelmed | pace:slow | slides:15,16,17",3,Pace-Related
what is While Loops,,0,On-Topic Question
i feel smart,,2,Emotional-State
I ve no iidea what's going on.,,2,Emotional-State
Do we need to know aboout FFor Loops?,,1,Off-Topic Question
like skip this,,3,Pace-Related
what happened?,,4,Repeat/clarification
"I'm confused, I feel so dumb right now.","topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:47%,Lists&Tuples:73%,Dictionaries:68% | emotion:overwhelmed | pace:moderate | slides:49,50,51",2,Emotional-State
Tell me more about Error Handling (Try/Except),,0,On-Topic Question
i quit,,2,Emotional-State
what?,,4,Repeat/clarification
no way,,2,Emotional-State
i need  minutee,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:42%,Arithmetic Operators:38%,Boolean Logic:44% | emotion:confused | pace:dragging | slides:17,18,19",3,Pace-Related
What's the difference between the two approaches you showed for Lambda Functions,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:51%,Sets:56%,Functions&Scope:57% | emotion:excited | pace:dragging | slides:9,10,11",0,On-Topic Question
When will we cover Dictionaries?,,1,Off-Topic Question
When will we cover File Handling?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:89%,Sets:33%,Functions&Scope:93% | emotion:frustrated | pace:fast | slides:51,52,53",1,Off-Topic Question
"Give me a sec, still I'm processing?","topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:50%,Boolean Logic:43%,If/Else Conditionals:85% | emotion:frustrated | pace:rushed | slides:36,37,38",3,Pace-Related
i quit,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:70%,Lambda Functions:53%,Error Handling:63% | emotion:overwhelmed | pace:rushed | slides:8,9,10",2,Emotional-State
i already know this go faster!!,,3,Pace-Related
what was the last thing u said,,4,Repeat/clarification
faster please,,3,Pace-Related
i need a minute,,3,Pace-Related
what?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:34%,Lambda Functions:60%,Error Handling:85% | emotion:confused | pace:dragging | slides:8,9,10",4,Repeat/clarification
can u do m math,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:neutral | pace:normal | slides:8,9,10",1,Off-Topic Question
what u mean,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:32%,Sets:82%,Functions&Scope:30% | emotion:overwhelmed | pace:rushed | slides:35,36,37",4,Repeat/clarification
what should i eat,,1,Off-Topic Question
say what,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:55%,Arithmetic Operators:33%,Boolean Logic:59% | emotion:focused | pace:fast | slides:32,33,34",4,Repeat/clarification
im hungry,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:44%,While Loops:42%,Lists&Tuples:35% | emotion:excited | pace:slow | slides:35,36,37",1,Off-Topic Question
pardon?,,4,Repeat/clarification
my hurt eyes,,2,Emotional-State
"I didn't understand, please say it again.","topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:54% | emotion:excited | pace:slow | slides:36,37,38",4,Repeat/clarification
wait what?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:99%,Error Handling:77%,Classes&OOP:64% | emotion:frustrated | pace:rushed | slides:14,15,16",4,Repeat/clarification
i missed the last part,,4,Repeat/clarification
yo what,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:53%,Dictionaries:60%,Sets:74% | emotion:focused | pace:slow | slides:7,8,9",2,Emotional-State
i feel smart,,2,Emotional-State
repeat pls,,4,Repeat/clarification
slow,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:73%,If/Else Conditionals:76%,For Loops:73% | emotion:overwhelmed | pace:dragging | slides:46,47,48",3,Pace-Related
speed it up,,3,Pace-Related
slow tf down,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:54%,If/Else Conditionals:70%,For Loops:87% | emotion:neutral | pace:steady | slides:30,31,32",3,Pace-Related
i understand the example,,0,On-Topic Question
right My head hurts from all this information.,,2,Emotional-State
Do we need to know about File Handling?,,1,Off-Topic Question
this is impossible,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:focused | pace:rushed | slides:44,45,46",2,Emotional-State
Is File Handling used a lot in real projects?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:55%,Error Handling:70%,Classes&OOP:41% | emotion:focused | pace:dragging | slides:55,56,57",0,On-Topic Question
Do we need to know about File Handling?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:97%,Lambda Functions:42%,Error Handling:78% | emotion:bored | pace:rushed | slides:57,58,59",1,Off-Topic Question
hol up,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:32%,Strings&Formatting:74%,Arithmetic Operators:76% | emotion:focused | pace:rushed | slides:41,42,43",3,Pace-Related
??,,4,Repeat/clarification
Can you re-explain how that works?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:30%,Strings&Formatting:65%,Arithmetic Operators:89% | emotion:excited | pace:moderate | slides:40,41,42",4,Repeat/clarification
Can we pick up the pace?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:50%,For Loops:72%,While Loops:69% | emotion:tired | pace:normal | slides:50,51,52",3,Pace-Related
pause pls,,3,Pace-Related
Is Boolean Logic related to what we are doing now?,,1,Off-Topic Question
run that back,,4,Repeat/clarification
wait a minute,,3,Pace-Related
"I didn't grasp, please say it again.",,4,Repeat/clarification
this is too hard,,2,Emotional-State
honestly do we need to know this,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:94%,Lists&Tuples:83%,Dictionaries:84% | emotion:overwhelmed | pace:rushed | slides:25,26,27",0,On-Topic Question
yo what,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:35%,Sets:55%,Functions&Scope:59% | emotion:engaged | pace:normal | slides:6,7,8",2,Emotional-State
can we stop for a sec,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:60%,For Loops:53%,While Loops:88% | emotion:neutral | pace:normal | slides:48,49,50",3,Pace-Related
rewind,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:31%,While Loops:80%,Lists&Tuples:45% | emotion:confused | pace:steady | slides:20,21,22",4,Repeat/clarification
Do we need to know about Classes and OOP?,,1,Off-Topic Question
When will we cover Classes and OOP?,,1,Off-Topic Question
say what,,4,Repeat/clarification
whats ur name,,1,Off-Topic Question
"I love coding, this is fun!",,2,Emotional-State
i missed the last part,,4,Repeat/clarification
im not getting Classes and OOP,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:78%,Lambda Functions:73%,Error Handling:54% | emotion:engaged | pace:normal | slides:38,39,40",0,On-Topic Question
I feel overwhelmed by all this new stuff.,,2,Emotional-State
hi,,1,Off-Topic Question
pause!!,,3,Pace-Related
too slow,,3,Pace-Related
i already know this go faster?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:57%,Functions&Scope:69%,Lambda Functions:100% | emotion:bored | pace:slow | slides:30,31,32",3,Pace-Related
When will we cover Classes and OOP!!,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:59%,Lists&Tuples:77%,Dictionaries:62% | emotion:engaged | pace:slow | slides:15,16,17",1,Off-Topic Question
"I saw someone using File Handling, what does it do?",,1,Off-Topic Question
I feel like I'm not making any progress?,,2,Emotional-State
do we need to know this,,0,On-Topic Question
Is Lambda Functions related to what we are doing now?,,1,Off-Topic Question
"Slow down, I'm still on last example.","topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:88%,Strings&Formatting:42% | emotion:excited | pace:normal | slides:20,21,22",3,Pace-Related
say what,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:82%,Boolean Logic:59%,If/Else Conditionals:60% | emotion:excited | pace:rushed | slides:42,43,44",4,Repeat/clarification
this suckks,,2,Emotional-State
Go back to that last point please.,,4,Repeat/clarification
slow down im typing,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:49%,Error Handling:90%,Classes&OOP:56% | emotion:excited | pace:fast | slides:17,18,19",3,Pace-Related
omg it works,,2,Emotional-State
no way,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:99%,Sets:79%,Functions&Scope:42% | emotion:confused | pace:fast | slides:26,27,28",2,Emotional-State
actually im unable to proceed on Lists and Tuples,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:99%,For Loops:97%,While Loops:49% | emotion:frustrated | pace:moderate | slides:21,22,23",0,On-Topic Question
Can you re-run that example!!,,4,Repeat/clarification
example pls,,0,On-Topic Question
Is Strings and Formatting something use every day?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:59% | emotion:confused | pace:slow | slides:6,7,8",0,On-Topic Question
my Strings and Formatting code is broken,,0,On-Topic Question
Can you re-run that example?,,4,Repeat/clarification
I'm so sleepy right now.,,2,Emotional-State
did hear not you?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:93%,Arithmetic Operators:37%,Boolean Logic:47% | emotion:neutral | pace:moderate | slides:12,13,14",4,Repeat/clarification
My head hurts from all this information.,,2,Emotional-State
run that back,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:60%,While Loops:58%,Lists&Tuples:50% | emotion:confused | pace:dragging | slides:56,57,58",4,Repeat/clarification
How long until we get to Classes and OOP?,,1,Off-Topic Question
Can you go back to the previous slide for a second!!,,4,Repeat/clarification
explain the program,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:38%,If/Else Conditionals:33%,For Loops:81% | emotion:neutral | pace:normal | slides:32,33,34",0,On-Topic Question
why am i getting an error,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:33%,Error Handling:37%,Classes&OOP:46% | emotion:confused | pace:moderate | slides:29,30,31",0,On-Topic Question
can we talk about something else,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:72%,For Loops:84%,While Loops:79% | emotion:confused | pace:moderate | slides:55,56,57",1,Off-Topic Question
one sec,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:85%,Error Handling:67%,Classes&OOP:86% | emotion:confused | pace:rushed | slides:15,16,17",3,Pace-Related
i didnt catch that,,4,Repeat/clarification
is sets related to what we are doing now?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:72%,Strings&Formatting:70% | emotion:focused | pace:normal | slides:25,26,27",1,Off-Topic Question
do we need to know this,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:63%,Strings&Formatting:55%,Arithmetic Operators:61% | emotion:overwhelmed | pace:rushed | slides:27,28,29",0,On-Topic Question
when will we cover file handling,,1,Off-Topic Question
When will we cover File Handling?,,1,Off-Topic Question
actually no way,,2,Emotional-State
Can we skip this?,,3,Pace-Related
"I saw someone using Functions and Scope, what does it do?",,1,Off-Topic Question
i love coding,,2,Emotional-State
skip to the next part,,3,Pace-Related
i missed the last part,,4,Repeat/clarification
Can you help me with my math homework?,,1,Off-Topic Question
What if I fail?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:59%,Boolean Logic:72%,If/Else Conditionals:89% | emotion:confused | pace:slow | slides:46,47,48",2,Emotional-State
say that one more time,,4,Repeat/clarification
do u play games,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:83%,Dictionaries:69%,Sets:65% | emotion:anxious | pace:slow | slides:12,13,14",1,Off-Topic Question
right This is really starting to make sense!,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:63%,Error Handling:30%,Classes&OOP:92% | emotion:focused | pace:normal | slides:37,38,39",2,Emotional-State
stop going so fast,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:68%,Strings&Formatting:100%,Arithmetic Operators:92% | emotion:excited | pace:steady | slides:34,35,36",3,Pace-Related
how does While Loops work,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:40%,If/Else Conditionals:92%,For Loops:73% | emotion:bored | pace:rushed | slides:39,40,41",0,On-Topic Question
When should I utilize While Loops vs the other approach?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:69%,If/Else Conditionals:59%,For Loops:66% | emotion:overwhelmed | pace:steady | slides:35,36,37",0,On-Topic Question
"i understood lists and tuples but functions and scope feels completely different, why?","topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:67%,Dictionaries:71%,Sets:68% | emotion:overwhelmed | pace:dragging | slides:33,34,35",0,On-Topic Question
"I didn't understand, please say it again.","topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:42%,If/Else Conditionals:65%,For Loops:77% | emotion:excited | pace:steady | slides:35,36,37",4,Repeat/clarification
Do we need to know about File Handling!!,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:84%,Boolean Logic:75%,If/Else Conditionals:43% | emotion:confused | pace:steady | slides:52,53,54",1,Off-Topic Question
Is Lambda Functions related to what we are doing now?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:60%,For Loops:50%,While Loops:43% | emotion:bored | pace:dragging | slides:43,44,45",1,Off-Topic Question
hi,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:57%,Sets:51%,Functions&Scope:75% | emotion:tired | pace:rushed | slides:45,46,47",1,Off-Topic Question
Let me see that slide again.,,4,Repeat/clarification
Functions my and Scope code is broken,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:37%,Dictionaries:82%,Sets:83% | emotion:excited | pace:slow | slides:58,59,60",0,On-Topic Question
"I understood Boolean Logic but While Loops feels completely different, why?",,0,On-Topic Question
When will we cover Sets?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:49%,While Loops:96%,Lists&Tuples:31% | emotion:bored | pace:normal | slides:10,11,12",1,Off-Topic Question
How long until we get to Classes and OOP?,,1,Off-Topic Question
When will we cover While Loops?,,1,Off-Topic Question
i wasn't listening,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:42%,Dictionaries:82%,Sets:74% | emotion:anxious | pace:dragging | slides:25,26,27",4,Repeat/clarification
can you explain this simply,,0,On-Topic Question
Don't rush through this please.,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:85%,Functions&Scope:80%,Lambda Functions:80% | emotion:frustrated | pace:steady | slides:26,27,28",3,Pace-Related
"give me a sec, i'm still processing","topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:45% | emotion:frustrated | pace:fast | slides:36,37,38",3,Pace-Related
what was that,,4,Repeat/clarification
What is the capital of France?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:65%,Functions&Scope:76%,Lambda Functions:32% | emotion:anxious | pace:dragging | slides:56,57,58",1,Off-Topic Question
how are you,,1,Off-Topic Question
this is impossible,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:33%,If/Else Conditionals:43%,For Loops:33% | emotion:frustrated | pace:normal | slides:36,37,38",2,Emotional-State
hurry up,,3,Pace-Related
pause,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:69%,Dictionaries:84%,Sets:54% | emotion:frustrated | pace:moderate | slides:13,14,15",3,Pace-Related
too slow,,3,Pace-Related
Is Error Handling (Try/Except) related to what we are doing now?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:81%,If/Else Conditionals:41%,For Loops:44% | emotion:engaged | pace:normal | slides:29,30,31",1,Off-Topic Question
what?,,4,Repeat/clarification
sorry what,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:bored | pace:dragging | slides:17,18,19",4,Repeat/clarification
did not hear you,,4,Repeat/clarification
"Wait, what was that?","topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:84%,Functions&Scope:61%,Lambda Functions:89% | emotion:bored | pace:slow | slides:5,6,7",4,Repeat/clarification
I'm losing my patience.,,2,Emotional-State
didn't get that?,,4,Repeat/clarification
What is your favorite color?,,1,Off-Topic Question
next slide,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:49%,Strings&Formatting:47% | emotion:excited | pace:slow | slides:38,39,40",3,Pace-Related
"I think I got thiss, let's speed up.","topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:46%,For Loops:95%,While Loops:40% | emotion:frustrated | pace:slow | slides:57,58,59",3,Pace-Related
what's the weather,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:63%,Functions&Scope:43%,Lambda Functions:46% | emotion:frustrated | pace:steady | slides:36,37,38",1,Off-Topic Question
slow tf down,,3,Pace-Related
