student_input,session_context,label,intent_name
"Sorry, I zoned out. What did you just say?","topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:70%,While Loops:86%,Lists&Tuples:60% | emotion:focused | pace:slow | slides:41,42,43",4,Repeat/clarification
"basically Wait, what was that?","topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:85%,For Loops:35%,While Loops:98% | emotion:frustrated | pace:fast | slides:56,57,58",4,Repeat/clarification
you're moving too quickly for me.,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:focused | pace:rushed | slides:5,6,7",3,Pace-Related
How does While Loops relate to Lists and Tuples?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:79%,For Loops:79%,While Loops:73% | emotion:bored | pace:steady | slides:40,41,42",0,On-Topic Question
Huh? Can you repeat?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:47%,Error Handling:65%,Classes&OOP:80% | emotion:confused | pace:rushed | slides:41,42,43",4,Repeat/clarification
How does If/Else Conditionals work in Python?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:45%,Strings&Formatting:47% | emotion:focused | pace:moderate | slides:42,43,44",1,Off-Topic Question
Why does my Arithmetic Operators code print the wrong output?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:50%,Strings&Formatting:81% | emotion:overwhelmed | pace:rushed | slides:15,16,17",0,On-Topic Question
How many more slides do we have?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:93% | emotion:excited | pace:dragging | slides:4,5,6",3,Pace-Related
"This part is easy, let's go faster","topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:37%,For Loops:59%,While Loops:57% | emotion:focused | pace:normal | slides:12,13,14",3,Pace-Related
"My score on Arithmetic Operators was not great, will I need it for If/Else Conditionals?","topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:56%,Arithmetic Operators:81%,Boolean Logic:56% | emotion:excited | pace:fast | slides:33,34,35",0,On-Topic Question
We're sendding too long on his.,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:73%,Strings&Formatting:30% | emotion:engaged | pace:slow | slides:40,41,42",3,Pace-Related
What is Strings and Formatting exactly,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:bored | pace:normal | slides:28,29,30",1,Off-Topic Question
I think the pacing is off?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:70%,Error Handling:45%,Classes&OOP:99% | emotion:neutral | pace:fast | slides:56,57,58",3,Pace-Related
"I'm feeling hungry, should I order pizza?","topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:58%,Lambda Functions:55%,Error Handling:85% | emotion:engaged | pace:steady | slides:21,22,23",1,Off-Topic Question
"I missed it, one more time please.","topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:59%,Lists&Tuples:80%,Dictionaries:76% | emotion:tired | pace:moderate | slides:50,51,52",4,Repeat/clarification
My eyes are glazing over.,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:43%,Functions&Scope:57%,Lambda Functions:50% | emotion:bored | pace:dragging | slides:56,57,58",2,Emotional-State
Does Fie Handling work the same way in other languages?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:47%,Error Handling:93%,Classes&OOP:94% | emotion:anxious | pace:moderate | slides:15,16,17",0,On-Topic Question
"Sorry, I zoned out. What did you just say!!","topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:31%,While Loops:53%,Lists&Tuples:47% | emotion:engaged | pace:slow | slides:26,27,28",4,Repeat/clarification
"I missed it, one more time please.","topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:64%,Functions&Scope:64%,Lambda Functions:42% | emotion:focused | pace:normal | slides:44,45,46",4,Repeat/clarification
"oSrry, can you go oveerr that again from teh beginning?","topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:80%,Error Handling:41%,Classes&OOP:38% | emotion:neutral | pace:rushed | slides:46,47,48",4,Repeat/clarification
Is Lists and Tuples used a lot in real projects?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:32%,For Loops:61%,While Loops:48% | emotion:excited | pace:dragging | slides:31,32,33",0,On-Topic Question
I just feel really down today.,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:86%,Lambda Functions:46%,Error Handling:83% | emotion:confused | pace:fast | slides:53,54,55",2,Emotional-State
"I already know this, can we move on?","topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:99%,Lists&Tuples:46%,Dictionaries:83% | emotion:neutral | pace:dragging | slides:45,46,47",3,Pace-Related
Why do we need Handling (Try/Except)?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:63%,Functions&Scope:89%,Lambda Functions:37% | emotion:tired | pace:dragging | slides:43,44,45",0,On-Topic Question
Can we ease up a bit?,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:37%,Dictionaries:31%,Sets:92% | emotion:neutral | pace:rushed | slides:5,6,7",3,Pace-Related
I FEEL ANXIOUS ABOUT FALLING BEHIND.,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:46%,Arithmetic Operators:70%,Boolean Logic:44% | emotion:engaged | pace:normal | slides:23,24,25",2,Emotional-State
Can you repeat that last part?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:58%,While Loops:65%,Lists&Tuples:75% | emotion:frustrated | pace:dragging | slides:36,37,38",4,Repeat/clarification
WHAT IS YOUR FAVORITE COLOR?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:86%,Boolean Logic:52%,If/Else Conditionals:55% | emotion:excited | pace:rushed | slides:27,28,29",1,Off-Topic Question
I feel like I'm not maknig any progress.,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:62%,Functions&Scope:34%,Lambda Functions:97% | emotion:excited | pace:fast | slides:35,36,37",2,Emotional-State
Who won the soccer match night?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:78%,Boolean Logic:68%,If/Else Conditionals:92% | emotion:frustrated | pace:rushed | slides:13,14,15",1,Off-Topic Question
"I understood Variables and Data Types but Strings and Formatting feels completely different, why?","topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:65% | emotion:engaged | pace:normal | slides:33,34,35",0,On-Topic Question
hey I need to hear that explanation again.,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:64%,Arithmetic Operators:69%,Boolean Logic:74% | emotion:tired | pace:moderate | slides:32,33,34",4,Repeat/clarification
I'm nervous about the upcoming test.,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:63%,While Loops:47%,Lists&Tuples:85% | emotion:neutral | pace:normal | slides:45,46,47",2,Emotional-State
Can you re-run that instance?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:33%,Sets:96%,Functions&Scope:68% | emotion:neutral | pace:rushed | slides:31,32,33",4,Repeat/clarification
Can you summarize what you just explained?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:engaged | pace:steady | slides:28,29,30",4,Repeat/clarification
Are we going to learn Dictionaries soon?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:75%,Boolean Logic:87%,If/Else Conditionals:54% | emotion:tired | pace:slow | slides:19,20,21",1,Off-Topic Question
Is there more to know about Sets?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:92%,Lists&Tuples:58%,Dictionaries:76% | emotion:engaged | pace:moderate | slides:4,5,6",0,On-Topic Question
Can you wait a second before moving to the next slide?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:62%,Lists&Tuples:75%,Dictionaries:54% | emotion:anxious | pace:slow | slides:32,33,34",3,Pace-Related
I think the pacing is off.,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:78%,While Loops:99%,Lists&Tuples:70% | emotion:frustrated | pace:fast | slides:49,50,51",3,Pace-Related
Skip ahead please.,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:75%,Strings&Formatting:51% | emotion:focused | pace:fast | slides:15,16,17",3,Pace-Related
Can we review If/Else Conditionals briefly before diving deeper into While Loops?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:86%,If/Else Conditionals:30%,For Loops:60% | emotion:bored | pace:normal | slides:19,20,21",0,On-Topic Question
I need to her that explaation gain.,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:84%,Arithmetic Operators:53%,Boolean Logic:45% | emotion:frustrated | pace:normal | slides:22,23,24",4,Repeat/clarification
i'm feeling super today? tired,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:86%,Functions&Scope:31%,Lambda Functions:48% | emotion:anxious | pace:moderate | slides:8,9,10",2,Emotional-State
Can we skip this?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:88% | emotion:tired | pace:rushed | slides:51,52,53",3,Pace-Related
Where does Functions fit in a larger program?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:77%,Sets:45%,Functions&Scope:44% | emotion:engaged | pace:fast | slides:27,28,29",0,On-Topic Question
I need you to repeat the definition.,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:55%,Arithmetic Operators:93%,Boolean Logic:89% | emotion:tired | pace:rushed | slides:50,51,52",4,Repeat/clarification
I'm so sleepy right now.,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:99%,Strings&Formatting:81%,Arithmetic Operators:90% | emotion:confused | pace:dragging | slides:20,21,22",2,Emotional-State
"I'm confused, I feel so dumb rigt now.","topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:39%,Strings&Formatting:73% | emotion:excited | pace:fast | slides:32,33,34",2,Emotional-State
I have no idea what's going on.,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:100% | emotion:bored | pace:dragging | slides:7,8,9",2,Emotional-State
This is so confusing it hurts.,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:96%,Functions&Scope:90%,Lambda Functions:70% | emotion:confused | pace:steady | slides:6,7,8",2,Emotional-State
"I understood Sets but Error Handling (Try/Except) feels completely different, why?","topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:82%,Functions&Scope:64%,Lambda Functions:77% | emotion:excited | pace:steady | slides:12,13,14",0,On-Topic Question
I need more time to process this.,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:58%,Strings&Formatting:75%,Arithmetic Operators:86% | emotion:confused | pace:fast | slides:44,45,46",3,Pace-Related
"My code for Dictionaries isn't working, can you help?","topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:52%,While Loops:92%,Lists&Tuples:34% | emotion:bored | pace:fast | slides:12,13,14",0,On-Topic Question
My head hurts from all this information.,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:40%,If/Else Conditionals:57%,For Loops:100% | emotion:overwhelmed | pace:normal | slides:37,38,39",2,Emotional-State
How does Lists and Tuples relate to Dictionaries?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:76%,While Loops:34%,Lists&Tuples:54% | emotion:confused | pace:steady | slides:49,50,51",0,On-Topic Question
"I'm hungry, should I order pizza?","topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:35%,Lists&Tuples:60%,Dictionaries:43% | emotion:anxious | pace:slow | slides:27,28,29",1,Off-Topic Question
Can we pause for a minute?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:40%,Error Handling:35%,Classes&OOP:74% | emotion:excited | pace:slow | slides:12,13,14",3,Pace-Related
Pleaase rrepeaat the steps.,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:48%,Strings&Formatting:51% | emotion:frustrated | pace:normal | slides:20,21,22",4,Repeat/clarification
hat wa the syntax you jus tshowed?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:43%,Lists&Tuples:40%,Dictionaries:41% | emotion:engaged | pace:moderate | slides:39,40,41",4,Repeat/clarification
Can you re-explain how that works,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:38%,Dictionaries:63%,Sets:71% | emotion:excited | pace:moderate | slides:57,58,59",4,Repeat/clarification
"wait, break down functions and scope one more time","topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:90%,Dictionaries:68%,Sets:38% | emotion:neutral | pace:fast | slides:10,11,12",0,On-Topic Question
"I'm feeling hungry, should I order pizza?","topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:89%,Strings&Formatting:42% | emotion:neutral | pace:normal | slides:33,34,35",1,Off-Topic Question
I feel stupid for not getting this.,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:48%,Arithmetic Operators:92%,Boolean Logic:96% | emotion:neutral | pace:rushed | slides:21,22,23",2,Emotional-State
I feel overwhelmed by all this new stuff.,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:focused | pace:moderate | slides:45,46,47",2,Emotional-State
Could you clarify what you meant?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:82%,Arithmetic Operators:87%,Boolean Logic:81% | emotion:neutral | pace:slow | slides:12,13,14",4,Repeat/clarification
I need you to repeat the definition.,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:96% | emotion:confused | pace:normal | slides:32,33,34",4,Repeat/clarification
I'm having a great time learning this.,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:excited | pace:moderate | slides:40,41,42",2,Emotional-State
"i think i got this, let's seed up.","topic:Variables and Data Types | prev:None | ability:N/A | emotion:anxious | pace:rushed | slides:53,54,55",3,Pace-Related
"Wait, elaborate on Strings and Formatting one more time","topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:57% | emotion:confused | pace:rushed | slides:46,47,48",0,On-Topic Question
How do I use While Loops in my code?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:98%,If/Else Conditionals:51%,For Loops:55% | emotion:engaged | pace:dragging | slides:45,46,47",0,On-Topic Question
The pace feels about right.,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:93%,Sets:84%,Functions&Scope:56% | emotion:frustrated | pace:steady | slides:20,21,22",3,Pace-Related
Go back to that last point please.,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:35%,If/Else Conditionals:70%,For Loops:41% | emotion:confused | pace:slow | slides:49,50,51",4,Repeat/clarification
Don't rush through this please.,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:75%,Strings&Formatting:100% | emotion:frustrated | pace:normal | slides:31,32,33",3,Pace-Related
What is your favorite color?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:93%,Lambda Functions:79%,Error Handling:34% | emotion:anxious | pace:steady | slides:58,59,60",1,Off-Topic Question
"I didn't understand, please say it again.","topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:45%,Sets:51%,Functions&Scope:81% | emotion:confused | pace:fast | slides:50,51,52",4,Repeat/clarification
hey Do'nt rush througgh this please.,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:67%,If/Else Conditionals:98%,For Loops:87% | emotion:frustrated | pace:steady | slides:15,16,17",3,Pace-Related
I don't understand anything.,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:32%,While Loops:77%,Lists&Tuples:63% | emotion:confused | pace:steady | slides:30,31,32",2,Emotional-State
How long until we get to Sets?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:82%,Arithmetic Operators:71%,Boolean Logic:96% | emotion:bored | pace:fast | slides:4,5,6",1,Off-Topic Question
Are we on schedule?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:overwhelmed | pace:moderate | slides:12,13,14",3,Pace-Related
Please repeat the steps.,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:67% | emotion:confused | pace:rushed | slides:16,17,18",4,Repeat/clarification
This is really starting to make sense!,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:45%,Boolean Logic:62%,If/Else Conditionals:34% | emotion:neutral | pace:dragging | slides:30,31,32",2,Emotional-State
Let's move on to the next topic.,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:44%,If/Else Conditionals:73%,For Loops:85% | emotion:focused | pace:normal | slides:41,42,43",3,Pace-Related
Can you o baack to the previous slide for a secon?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:48%,Strings&Formatting:50% | emotion:confused | pace:steady | slides:32,33,34",4,Repeat/clarification
Please repeat the steps!!,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:45%,Arithmetic Operators:97%,Boolean Logic:93% | emotion:overwhelmed | pace:dragging | slides:39,40,41",4,Repeat/clarification
Can we skip ahead to File Handling?,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:55%,Boolean Logic:89%,If/Else Conditionals:67% | emotion:confused | pace:steady | slides:40,41,42",1,Off-Topic Question
"I'm feeling hungry, should I order pizza?","topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:80%,For Loops:52%,While Loops:75% | emotion:bored | pace:moderate | slides:49,50,51",1,Off-Topic Question
honestly Can you adjust the speed a bit?,"topic:Lambda Functions | prev:Dictionaries,Sets,Functions and Scope | ability:Dictionaries:50%,Sets:92%,Functions&Scope:87% | emotion:excited | pace:slow | slides:17,18,19",3,Pace-Related
Can you debug this Variables and Data Types example with me?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:excited | pace:rushed | slides:51,52,53",0,On-Topic Question
Is there more to know about File Handling?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:51%,Error Handling:81%,Classes&OOP:73% | emotion:confused | pace:rushed | slides:29,30,31",0,On-Topic Question
Can you show that example one more time?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:68%,Strings&Formatting:47%,Arithmetic Operators:39% | emotion:overwhelmed | pace:dragging | slides:33,34,35",4,Repeat/clarification
can you go back to the previous slide for a second?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:89%,Lambda Functions:70%,Error Handling:33% | emotion:neutral | pace:rushed | slides:16,17,18",4,Repeat/clarification
"basically I didn't catch that, can you say it again?","topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:66%,Lists&Tuples:70%,Dictionaries:98% | emotion:overwhelmed | pace:moderate | slides:28,29,30",4,Repeat/clarification
"I missed it, one more time please","topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:59% | emotion:anxious | pace:slow | slides:26,27,28",4,Repeat/clarification
What's the best phone to buy right now?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:86%,Lists&Tuples:80%,Dictionaries:35% | emotion:engaged | pace:normal | slides:14,15,16",1,Off-Topic Question
Can we do something more interesting?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:69% | emotion:neutral | pace:normal | slides:14,15,16",2,Emotional-State
hey aid me with Functions and Scope,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:31%,Dictionaries:40%,Sets:55% | emotion:focused | pace:fast | slides:16,17,18",0,On-Topic Question
can yu ajdust the psseed a bit?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:51%,For Loops:43%,While Loops:72% | emotion:overwhelmed | pace:slow | slides:57,58,59",3,Pace-Related
Can you give me a sneak peek of Lammbda Fnuctions?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:95%,If/Else Conditionals:45%,For Loops:78% | emotion:tired | pace:dragging | slides:5,6,7",1,Off-Topic Question
Can we take a break?,"topic:Arithmetic Operators | prev:Variables and Data Types,Strings and Formatting | ability:Variables&Data Types:40%,Strings&Formatting:52% | emotion:bored | pace:rushed | slides:35,36,37",3,Pace-Related
"Wow, I finally understand it!","topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:99%,Functions&Scope:79%,Lambda Functions:46% | emotion:confused | pace:steady | slides:42,43,44",2,Emotional-State
umm Could you clarify what you meant?,"topic:Variables and Data Types | prev:None | ability:N/A | emotion:anxious | pace:rushed | slides:6,7,8",4,Repeat/clarification
How do I cook pasta?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:69%,If/Else Conditionals:98%,For Loops:48% | emotion:anxious | pace:fast | slides:43,44,45",1,Off-Topic Question
What's the weather like today?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:48%,Lambda Functions:91%,Error Handling:58% | emotion:engaged | pace:rushed | slides:25,26,27",1,Off-Topic Question
I feel like giving up.,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:91%,While Loops:90%,Lists&Tuples:72% | emotion:confused | pace:slow | slides:8,9,10",2,Emotional-State
When does this session end?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:54% | emotion:anxious | pace:moderate | slides:34,35,36",3,Pace-Related
Will Sets be on the exam?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:71%,Strings&Formatting:70%,Arithmetic Operators:75% | emotion:neutral | pace:steady | slides:51,52,53",1,Off-Topic Question
"My score on Boolean Logic was not great, will I need it for For Loops?","topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:99%,Boolean Logic:51%,If/Else Conditionals:32% | emotion:confused | pace:slow | slides:39,40,41",0,On-Topic Question
What should I eat for dinner?,"topic:Dictionaries | prev:For Loops,While Loops,Lists and Tuples | ability:For Loops:72%,While Loops:74%,Lists&Tuples:51% | emotion:tired | pace:normal | slides:5,6,7",1,Off-Topic Question
WHAT THE WERE KEY POINTS OF THAT LAST SECTION?,"topic:While Loops | prev:Boolean Logic,If/Else Conditionals,For Loops | ability:Boolean Logic:62%,If/Else Conditionals:41%,For Loops:68% | emotion:focused | pace:normal | slides:38,39,40",4,Repeat/clarification
I think the pacing is off.,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:75%,Error Handling:79%,Classes&OOP:94% | emotion:frustrated | pace:moderate | slides:59,60,61",3,Pace-Related
"Let's speed up the pace, I'm bored.","topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:60% | emotion:tired | pace:moderate | slides:5,6,7",3,Pace-Related
"umm i missed the first step, can you re-explain?","topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:98% | emotion:excited | pace:slow | slides:45,46,47",4,Repeat/clarification
Can you show that example one more time?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:56%,Strings&Formatting:88%,Arithmetic Operators:64% | emotion:frustrated | pace:normal | slides:45,46,47",4,Repeat/clarification
I am so frustrated right now.,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:92%,Boolean Logic:67%,If/Else Conditionals:32% | emotion:bored | pace:dragging | slides:12,13,14",2,Emotional-State
Can you show me a more advanced use of Functions and Scope,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:94%,Dictionaries:96%,Sets:88% | emotion:bored | pace:normal | slides:33,34,35",0,On-Topic Question
What's the best phone to buy right now?,"topic:Classes and OOP | prev:Functions and Scope,Lambda Functions,Error Handling | ability:Functions&Scope:90%,Lambda Functions:67%,Error Handling:59% | emotion:neutral | pace:dragging | slides:33,34,35",1,Off-Topic Question
So how does Lists and Tuples actually work?,"topic:Lists and Tuples | prev:If/Else Conditionals,For Loops,While Loops | ability:If/Else Conditionals:85%,For Loops:79%,While Loops:94% | emotion:excited | pace:dragging | slides:32,33,34",0,On-Topic Question
Do we need to know about File Handling?,"topic:Error Handling (Try/Except) | prev:Sets,Functions and Scope,Lambda Functions | ability:Sets:66%,Functions&Scope:33%,Lambda Functions:59% | emotion:focused | pace:fast | slides:25,26,27",1,Off-Topic Question
What's meaning the of life?,"topic:Boolean Logic | prev:Variables and Data Types,Strings and Formatting,Arithmetic Operators | ability:Variables&Data Types:39%,Strings&Formatting:44%,Arithmetic Operators:82% | emotion:overwhelmed | pace:fast | slides:14,15,16",1,Off-Topic Question
Say that again!!,"topic:For Loops | prev:Arithmetic Operators,Boolean Logic,If/Else Conditionals | ability:Arithmetic Operators:35%,Boolean Logic:75%,If/Else Conditionals:94% | emotion:engaged | pace:fast | slides:46,47,48",4,Repeat/clarification
HOW DOES SETS RELATE TO FUNCTIONS AND SCOPE!!,"topic:Functions and Scope | prev:Lists and Tuples,Dictionaries,Sets | ability:Lists&Tuples:73%,Dictionaries:61%,Sets:45% | emotion:focused | pace:slow | slides:8,9,10",0,On-Topic Question
How would I use File Handling in a project?,"topic:File Handling | prev:Lambda Functions,Error Handling,Classes and OOP | ability:Lambda Functions:88%,Error Handling:46%,Classes&OOP:50% | emotion:overwhelmed | pace:steady | slides:24,25,26",0,On-Topic Question
Why is this so hard?,"topic:Sets | prev:While Loops,Lists and Tuples,Dictionaries | ability:While Loops:60%,Lists&Tuples:40%,Dictionaries:43% | emotion:anxious | pace:rushed | slides:4,5,6",2,Emotional-State
can you summarize what you just explained?,"topic:If/Else Conditionals | prev:Strings and Formatting,Arithmetic Operators,Boolean Logic | ability:Strings&Formatting:35%,Arithmetic Operators:99%,Boolean Logic:80% | emotion:overwhelmed | pace:normal | slides:11,12,13",4,Repeat/clarification
is strings and formatting something i'll use every day?,"topic:Strings and Formatting | prev:Variables and Data Types | ability:Variables&Data Types:78% | emotion:overwhelmed | pace:steady | slides:15,16,17",0,On-Topic Question
